order_id,customer_id,order_date_fk,revenue
96149,K4078373803.0,20170101,128.70
281101,K3929324291.0,20170101,125.33
96244,K1706191515.0,20170101,118.09
96162,K4291564253.0,20170101,80.80
96204,K3541486465.0,20170101,75.80
233749,K2192271710.0,20170101,71.80
96179,K3459970009.0,20170101,69.60
96218,K1973748880.0,20170101,67.49
96237,K2870325598.0,20170101,63.50
233793,K503445790.0,20170101,58.39
96240,K1964139029.0,20170101,52.99
259446,K1474489464.0,20170101,50.25
96163,K2047468381.0,20170101,48.74
233786,K1228030190.0,20170101,48.59
96220,K3997517316.0,20170101,45.90
96211,K1841062494.0,20170101,44.58
233796,K493990618.0,20170101,40.69
96188,K2476393106.0,20170101,40.54
126083,K2470575050.0,20170101,39.58
96208,K576940947.0,20170101,39.58
96226,K1889120098.0,20170101,39.58
126079,K2468951537.0,20170101,37.99
208787,K1428903327.0,20170101,37.97
96231,K1635033807.0,20170101,37.90
233804,K1138012973.0,20170101,37.79
126074,K1277719219.0,20170101,37.79
96186,K1496809032.0,20170101,36.78
96195,K3930925681.0,20170101,36.50
96170,K3084249312.0,20170101,34.89
233789,K3360450596.0,20170101,33.80
96173,K1905543655.0,20170101,32.67
254234,K1329781757.0,20170101,30.68
194966,K2248710398.0,20170101,29.98
126081,K1331482344.0,20170101,29.98
194967,K3342431058.0,20170101,29.90
96210,K1853409344.0,20170101,29.90
268616,K1227261115.0,20170101,29.90
268638,K1365794222.0,20170101,29.90
126088,K1080661871.0,20170101,25.40
233798,K2429010296.0,20170101,25.06
194968,K1379209789.0,20170101,24.80
126076,K227027226.0,20170101,23.70
96214,K667997766.0,20170101,22.90
96180,K245622530.0,20170101,22.00
194964,K2624470227.0,20170101,21.89
96167,K1065932379.0,20170101,20.00
96228,K2690174485.0,20170101,19.79
208791,K1077625526.0,20170101,19.79
96235,K348988753.0,20170101,18.90
126082,K4061807411.0,20170101,17.89
233772,K2454097058.0,20170101,16.26
126080,K4120625430.0,20170101,15.60
96178,K387196955.0,20170101,14.99
233785,K2516478645.0,20170101,14.99
96158,K1113111290.0,20170101,14.99
96166,K1572520247.0,20170101,14.99
96185,K2270203671.0,20170101,14.99
96155,K2073026131.0,20170101,14.99
96230,K85476198.0,20170101,14.99
233805,K1742031539.0,20170101,14.99
233788,K2084848757.0,20170101,14.99
96157,K891433944.0,20170101,14.99
96217,K950514669.0,20170101,14.99
96159,K1437917611.0,20170101,13.50
96156,K4149463271.0,20170101,11.13
126084,K29364439.0,20170101,10.90
126075,K4057746639.0,20170101,10.70
233783,K1853722918.0,20170101,10.00
268615,K982578539.0,20170101,9.80
126073,K2615347762.0,20170101,9.80
126078,K951123600.0,20170101,8.80
268679,K4000181159.0,20170101,7.89
268620,K1080661871.0,20170101,7.80
268640,K1331482344.0,20170101,3.90
274817,K325261851.0,20170102,995.70
195154,K457195384.0,20170102,870.70
194992,K3205813812.0,20170102,239.49
281105,K1935389927.0,20170102,235.38
96397,K876522427.0,20170102,221.00
259528,K504204849.0,20170102,194.46
96659,K2108185223.0,20170102,187.55
96606,K3539466631.0,20170102,187.50
281107,K3078481524.0,20170102,168.99
195105,K2090550576.0,20170102,168.69
96502,K2444301256.0,20170102,167.70
208807,K3428749818.0,20170102,161.80
96448,K2294563265.0,20170102,156.24
195138,K2371898790.0,20170102,151.16
195126,K1464093318.0,20170102,146.20
259508,K1019245263.0,20170102,145.87
96369,K1586450969.0,20170102,140.25
195066,K847523894.0,20170102,138.55
281108,K164899552.0,20170102,136.08
281109,K2836310831.0,20170102,135.65
96579,K3700225769.0,20170102,133.78
96431,K2994265357.0,20170102,131.75
166160,K0166160.0,20170102,130.00
96439,K290125071.0,20170102,129.96
259615,K1351400130.0,20170102,127.42
96673,K3130073657.0,20170102,125.70
96323,K2031381335.0,20170102,119.00
195115,K2059209713.0,20170102,118.56
259586,K2102450116.0,20170102,113.53
96301,K1003810721.0,20170102,112.15
96320,K249055494.0,20170102,110.50
96374,K4233168652.0,20170102,110.50
259659,K4265109111.0,20170102,109.15
194988,K273526258.0,20170102,107.90
96290,K2720726951.0,20170102,107.90
194986,K2194016190.0,20170102,107.90
96349,K2309669764.0,20170102,106.85
194978,K1078264461.0,20170102,106.04
259644,K3134405980.0,20170102,104.49
96599,K1210947285.0,20170102,103.79
96330,K3725937550.0,20170102,103.63
259532,K4005672150.0,20170102,103.00
194985,K1932738850.0,20170102,102.00
233825,K1978043653.0,20170102,101.69
96535,K096535.0,20170102,100.00
96264,K1056542735.0,20170102,99.53
96359,K3854869015.0,20170102,99.41
208801,K1665598734.0,20170102,95.64
96693,K4214441281.0,20170102,87.29
281117,K1342892862.0,20170102,86.94
233820,K1072633625.0,20170102,86.88
259544,K4165025485.0,20170102,85.77
96367,K3001530985.0,20170102,85.00
96594,K096594.0,20170102,85.00
259460,K2339919290.0,20170102,83.73
96403,K3497535462.0,20170102,81.52
281116,K287069593.0,20170102,81.22
259632,K2363907523.0,20170102,81.16
259503,K1684538025.0,20170102,80.49
195082,K1824251983.0,20170102,78.87
195028,K3253690638.0,20170102,78.07
281112,K1148873255.0,20170102,77.83
233854,K772027046.0,20170102,77.80
233808,K4124764665.0,20170102,77.70
96459,K2754230462.0,20170102,77.15
96465,K225884430.0,20170102,76.55
96678,K2075699251.0,20170102,75.98
96614,K1954623945.0,20170102,75.98
96557,K3178076781.0,20170102,74.88
96383,K1893922905.0,20170102,74.79
195024,K3809179523.0,20170102,73.88
96324,K4113428469.0,20170102,72.20
96280,K824861551.0,20170102,71.87
96339,K2728379380.0,20170102,71.83
281102,K4037267438.0,20170102,70.76
233812,K319185530.0,20170102,69.85
96429,K2608550264.0,20170102,69.75
194983,K4022996489.0,20170102,69.57
96288,K1950961138.0,20170102,69.57
195051,K3027649732.0,20170102,69.57
96286,K553761716.0,20170102,69.57
259498,K121159089.0,20170102,68.77
259543,K3760004997.0,20170102,68.00
96424,K3892248590.0,20170102,68.00
259513,K865523252.0,20170102,67.90
259501,K1954354118.0,20170102,67.90
96366,K387513276.0,20170102,67.90
96261,K3033145196.0,20170102,67.50
96616,K961757365.0,20170102,66.70
195031,K2920124489.0,20170102,66.16
96457,K2276453629.0,20170102,66.12
259502,K1659262207.0,20170102,66.12
195150,K576584991.0,20170102,65.70
259608,K1941816873.0,20170102,65.37
195146,K3817425245.0,20170102,64.90
96358,K2154920594.0,20170102,63.67
96310,K299719364.0,20170102,63.67
96395,K2203944018.0,20170102,63.67
96311,K437221175.0,20170102,63.67
259607,K1781617672.0,20170102,63.67
96462,K3968381318.0,20170102,63.67
259541,K712614265.0,20170102,63.65
259595,K3912594212.0,20170102,63.63
96267,K3459385639.0,20170102,63.32
259483,K1859881872.0,20170102,63.32
96392,K3694510488.0,20170102,62.72
96506,K3732786156.0,20170102,62.70
96444,K1701343146.0,20170102,62.62
259524,K923897017.0,20170102,62.48
281119,K3923580206.0,20170102,62.45
195018,K329123896.0,20170102,62.23
195179,K3501436948.0,20170102,61.11
96569,K2220233441.0,20170102,60.29
194990,K2570537091.0,20170102,60.18
96433,K3900373254.0,20170102,60.00
233841,K192063825.0,20170102,59.90
195061,K4265134537.0,20170102,59.85
195161,K3449264855.0,20170102,59.80
195132,K3958779486.0,20170102,59.65
259496,K1050384722.0,20170102,59.58
96371,K1853878102.0,20170102,59.50
96410,K204571660.0,20170102,59.50
259619,K2629779522.0,20170102,59.50
259599,K443801072.0,20170102,59.50
96412,K993461299.0,20170102,59.50
96335,K3725907371.0,20170102,59.50
195006,K4041165731.0,20170102,59.42
259667,K2429167706.0,20170102,59.37
281118,K2568212019.0,20170102,59.19
259657,K3314752722.0,20170102,58.80
96372,K1234907410.0,20170102,58.75
259561,K4192213098.0,20170102,57.85
259613,K3252627770.0,20170102,56.94
96494,K4031271823.0,20170102,56.92
96545,K494786933.0,20170102,56.80
259474,K4161088694.0,20170102,55.90
259470,K1891422408.0,20170102,55.90
208795,K2156256643.0,20170102,55.89
96312,K3647785468.0,20170102,55.68
96259,K592031783.0,20170102,54.90
96268,K3091042343.0,20170102,54.90
195111,K2059209713.0,20170102,54.80
259679,K3367773352.0,20170102,54.75
259552,K2969553842.0,20170102,54.40
259565,K1544779607.0,20170102,54.32
259555,K43988114.0,20170102,53.98
96498,K2444301256.0,20170102,53.90
96398,K616372841.0,20170102,53.78
96565,K2138621405.0,20170102,53.70
96458,K518603628.0,20170102,53.60
96495,K914203402.0,20170102,53.59
96698,K2442044208.0,20170102,52.98
259575,K1685212084.0,20170102,52.13
96609,K2388149670.0,20170102,51.93
195049,K1379209789.0,20170102,51.54
96278,K685402599.0,20170102,51.54
195100,K2852812251.0,20170102,51.30
195044,K3490295077.0,20170102,51.30
96319,K1015117668.0,20170102,51.25
96328,K1081399519.0,20170102,51.25
96487,K2265029787.0,20170102,51.00
194976,K1672228866.0,20170102,51.00
259598,K1874086016.0,20170102,51.00
194991,K954359932.0,20170102,51.00
259459,K1892684978.0,20170102,51.00
96325,K808884557.0,20170102,51.00
96309,K891476672.0,20170102,51.00
96354,K4177415504.0,20170102,51.00
96428,K3111120593.0,20170102,51.00
259520,K1046595067.0,20170102,51.00
96318,K402096035.0,20170102,51.00
195055,K860717154.0,20170102,51.00
195058,K527497764.0,20170102,51.00
96337,K1122330638.0,20170102,51.00
96338,K3265879490.0,20170102,51.00
96347,K2404421870.0,20170102,51.00
96423,K1918469552.0,20170102,51.00
259492,K1009817169.0,20170102,51.00
96317,K1587238945.0,20170102,50.92
259631,K2424446015.0,20170102,50.84
195097,K2993425706.0,20170102,50.84
96417,K157199326.0,20170102,50.75
259484,K3967198001.0,20170102,50.65
195089,K3514020212.0,20170102,50.56
96341,K4089677501.0,20170102,50.50
96650,K110372009.0,20170102,50.19
126100,K1050724319.0,20170102,50.00
259477,K2913067915.0,20170102,49.15
259480,K557500373.0,20170102,49.15
195164,K2840358123.0,20170102,48.88
195169,K1486039462.0,20170102,47.76
96526,K3774935830.0,20170102,47.70
96434,K524912062.0,20170102,47.60
259472,K4152720147.0,20170102,47.32
96584,K1777126962.0,20170102,46.99
96452,K3154078.0,20170102,46.91
259569,K246681488.0,20170102,46.91
195098,K720488570.0,20170102,46.84
195152,K1206899781.0,20170102,46.83
259596,K3336409824.0,20170102,46.75
194977,K855755266.0,20170102,46.40
96260,K3163761739.0,20170102,46.40
195120,K856068056.0,20170102,45.79
96533,K2348667852.0,20170102,45.49
96247,K2255691306.0,20170102,45.38
96292,K1903775895.0,20170102,45.37
259494,K1253166884.0,20170102,45.08
208814,K1092847873.0,20170102,44.97
96270,K2425197674.0,20170102,44.89
259557,K3919883988.0,20170102,44.59
259493,K1988665851.0,20170102,44.25
96373,K1906364809.0,20170102,44.25
96409,K3860675367.0,20170102,44.25
259601,K2420330023.0,20170102,44.20
96327,K1304834917.0,20170102,44.19
195167,K395350474.0,20170102,44.09
259506,K3634964308.0,20170102,43.40
259490,K4153399855.0,20170102,43.35
259468,K3247757377.0,20170102,43.15
96269,K236493884.0,20170102,43.15
96461,K195297397.0,20170102,42.66
259521,K153658217.0,20170102,42.50
259600,K2075824199.0,20170102,42.50
259605,K2904644000.0,20170102,42.50
259634,K2588650737.0,20170102,42.42
96356,K1134788500.0,20170102,42.42
259479,K2928896313.0,20170102,42.15
194975,K553644259.0,20170102,42.15
259454,K1562409884.0,20170102,41.92
233835,K2480649256.0,20170102,41.78
195039,K4015681966.0,20170102,41.40
96321,K188030597.0,20170102,40.80
195076,K3104709474.0,20170102,40.70
195071,K2333369629.0,20170102,40.66
195002,K1017965408.0,20170102,40.24
96436,K71544950.0,20170102,40.12
259658,K2999542470.0,20170102,40.11
96537,K787196560.0,20170102,40.00
233815,K3063006961.0,20170102,39.58
195011,K2925402911.0,20170102,39.47
96538,K2985964166.0,20170102,39.29
96525,K096525.0,20170102,39.00
195037,K3657090744.0,20170102,38.97
96690,K118672331.0,20170102,38.90
96647,K1005482921.0,20170102,38.89
96637,K2354869014.0,20170102,38.54
259523,K4113394687.0,20170102,38.38
195053,K541884943.0,20170102,38.25
195059,K3002177561.0,20170102,38.25
195088,K2088599102.0,20170102,38.25
96348,K1022725222.0,20170102,38.25
96326,K1324347551.0,20170102,38.25
259486,K3247055953.0,20170102,38.25
96408,K604628094.0,20170102,38.25
96416,K1479984377.0,20170102,38.25
195060,K781917059.0,20170102,38.25
195057,K818046620.0,20170102,37.99
96608,K4070882174.0,20170102,37.99
96363,K611172180.0,20170102,37.80
126097,K3122726777.0,20170102,37.79
166169,K0166169.0,20170102,37.50
96568,K1959542672.0,20170102,36.90
96513,K893078030.0,20170102,36.89
96571,K3292533837.0,20170102,36.52
96642,K3981445486.0,20170102,36.42
96669,K594334083.0,20170102,35.91
96611,K133902337.0,20170102,35.89
195118,K4109359474.0,20170102,35.89
259487,K288853088.0,20170102,35.32
96530,K3390422790.0,20170102,34.78
195022,K3931463647.0,20170102,34.72
233840,K1266502530.0,20170102,34.49
96308,K3802229157.0,20170102,34.28
96396,K1936572971.0,20170102,34.16
96357,K3754094032.0,20170102,34.16
259603,K3600261350.0,20170102,34.16
96463,K73676063.0,20170102,34.00
96682,K1590324336.0,20170102,34.00
208793,K1189644703.0,20170102,33.98
195110,K4165565006.0,20170102,33.93
96283,K365280458.0,20170102,33.79
259515,K4124826360.0,20170102,33.50
96253,K4079330413.0,20170102,33.42
96623,K3997864616.0,20170102,33.22
96418,K338966080.0,20170102,33.08
96450,K3741670541.0,20170102,33.05
96474,K3414379673.0,20170102,32.65
96454,K2365358813.0,20170102,32.55
96394,K726326589.0,20170102,32.16
96595,K511859792.0,20170102,31.79
259628,K391407226.0,20170102,31.75
96329,K3370827235.0,20170102,31.75
195054,K3444911004.0,20170102,31.75
96393,K3126655258.0,20170102,31.75
195143,K749304873.0,20170102,31.70
96300,K1047743025.0,20170102,31.40
195007,K3140232948.0,20170102,31.36
96675,K2274721774.0,20170102,30.99
194970,K3176959565.0,20170102,30.98
195176,K1691283739.0,20170102,30.90
96509,K2861966416.0,20170102,30.90
96389,K1205940867.0,20170102,30.60
96679,K1651148431.0,20170102,30.60
195124,K2534775596.0,20170102,30.59
96257,K3381368947.0,20170102,30.59
96536,K1294465954.0,20170102,30.59
96552,K2525434282.0,20170102,30.50
259534,K3448192906.0,20170102,30.50
259500,K3320327732.0,20170102,30.09
96547,K385166653.0,20170102,29.98
233807,K2668722578.0,20170102,29.98
195130,K1619050079.0,20170102,29.90
96573,K4279193354.0,20170102,29.79
96375,K376450928.0,20170102,29.78
259571,K2642783005.0,20170102,29.76
259593,K1545173541.0,20170102,29.40
126089,K1008428733.0,20170102,28.90
96413,K4133680607.0,20170102,28.84
259629,K2428523514.0,20170102,28.82
208799,K320083755.0,20170102,28.79
126098,K1840386103.0,20170102,28.70
96629,K2598436881.0,20170102,27.90
259621,K3050651964.0,20170102,27.16
96488,K2340314919.0,20170102,27.05
259638,K3175276443.0,20170102,26.83
126102,K1398235034.0,20170102,26.80
96353,K1931397371.0,20170102,26.75
259592,K2844531825.0,20170102,26.75
195079,K2567964009.0,20170102,26.65
96477,K1922006185.0,20170102,26.04
96402,K2619968397.0,20170102,26.00
259604,K1516752278.0,20170102,26.00
195131,K637761253.0,20170102,25.80
96355,K1521158979.0,20170102,25.50
259551,K436579234.0,20170102,25.50
96336,K3752343801.0,20170102,25.50
259512,K441024971.0,20170102,25.50
96334,K1573967587.0,20170102,25.50
96368,K261380867.0,20170102,25.50
259514,K3534420895.0,20170102,25.50
96391,K639371557.0,20170102,25.50
195043,K83179523.0,20170102,25.50
195056,K3299056289.0,20170102,25.50
259620,K2108334090.0,20170102,25.50
96470,K1269711480.0,20170102,25.48
126091,K1965054651.0,20170102,25.00
126104,K2545371671.0,20170102,25.00
96562,K1151712178.0,20170102,24.90
96521,K1416567367.0,20170102,23.90
96651,K3127550342.0,20170102,23.80
195162,K4120824382.0,20170102,23.69
96696,K1075898778.0,20170102,23.60
126101,K460485033.0,20170102,22.69
