customer_id,customer_type,primary_sales_channel,first_order_day_fk
K0166234,B2C,Offline,20170108
K0166235,B2C,Offline,20170108
K0166236,B2C,Offline,20170108
K0166237,B2C,Offline,20170108
K0166239,B2C,Offline,20170108
K0166241,B2C,Offline,20170108
K0166245,B2C,Offline,20170108
K0166246,B2C,Offline,20170108
K0166248,B2C,Offline,20170108
K0166249,B2C,Offline,20170108
K0166252,B2C,Offline,20170108
K0166254,B2C,Offline,20170108
K0166255,B2C,Offline,20170108
K0166256,B2C,Offline,20170108
K0166257,B2C,Offline,20170108
K0166260,B2C,Offline,20170108
K0166262,B2C,Offline,20170108
K0166265,B2C,Offline,20170108
K0166268,B2C,Offline,20170108
K0166269,B2C,Offline,20170108
K0166270,B2C,Offline,20170108
K0166272,B2C,Offline,20170108
K0166274,B2C,Offline,20170108
K0166275,B2C,Offline,20170108
K0166277,B2C,Offline,20170108
K0166283,B2C,Offline,20170108
K0166284,B2C,Offline,20170108
K0166285,B2C,Offline,20170108
K0166286,B2C,Offline,20170108
K0166287,B2C,Offline,20170108
K0166292,B2C,Offline,20170108
K0166295,B2C,Offline,20170108
K0166297,B2C,Offline,20170108
K0166308,B2C,Offline,20170108
K0166310,B2C,Offline,20170109
K0166315,B2C,Offline,20170109
K0166316,B2C,Offline,20170109
K0166319,B2C,Offline,20170109
K0166320,B2C,Offline,20170109
K0166323,B2C,Offline,20170110
K0166328,B2C,Offline,20170110
K0166334,B2C,Offline,20170110
K0166337,B2C,Offline,20170110
K0166338,B2C,Offline,20170110
K0166354,B2C,Offline,20170111
K0166356,B2C,Offline,20170111
K0166357,B2C,Offline,20170111
K0166358,B2C,Offline,20170112
K0166359,B2C,Offline,20170112
K0166362,B2C,Offline,20170112
K0166364,B2C,Offline,20170112
K0166365,B2C,Offline,20170112
K0166375,B2C,Offline,20170113
K0166379,B2C,Offline,20170113
K0166387,B2C,Offline,20170114
K0166389,B2C,Offline,20170114
K0166392,B2C,Offline,20170114
K0166395,B2C,Offline,20170114
K0166398,B2C,Offline,20170114
K0166399,B2C,Offline,20170114
K0166402,B2C,Offline,20170116
K0166407,B2C,Offline,20170116
K0166410,B2C,Offline,20170116
K0166412,B2C,Offline,20170116
K0166413,B2C,Offline,20170117
K0166414,B2C,Offline,20170117
K0166415,B2C,Offline,20170117
K0166418,B2C,Offline,20170117
K0166420,B2C,Offline,20170117
K0166422,B2C,Offline,20170117
K0166426,B2C,Offline,20170118
K0166428,B2C,Offline,20170118
K0166430,B2C,Offline,20170118
K0166437,B2C,Offline,20170119
K0166442,B2C,Offline,20170119
K0166446,B2C,Offline,20170119
K0166447,B2C,Offline,20170119
K0166450,B2C,Offline,20170119
K0166453,B2C,Offline,20170119
K0166457,B2C,Offline,20170119
K0166459,B2C,Offline,20170119
K0166460,B2C,Offline,20170119
K0166461,B2C,Offline,20170119
K0166462,B2C,Offline,20170120
K0166463,B2C,Offline,20170120
K0166466,B2C,Offline,20170120
K0166468,B2C,Offline,20170120
K0166469,B2C,Offline,20170120
K0166472,B2C,Offline,20170120
K0166475,B2C,Offline,20170120
K0166477,B2C,Offline,20170120
K0166480,B2C,Offline,20170120
K0166485,B2C,Offline,20170120
K0166488,B2C,Offline,20170120
K0166490,B2C,Offline,20170120
K0166494,B2C,Offline,20170121
K0166495,B2C,Offline,20170121
K0166497,B2C,Offline,20170121
K0166499,B2C,Offline,20170121
K0166500,B2C,Offline,20170123
K0166510,B2C,Offline,20170123
K0166511,B2C,Offline,20170124
K0166515,B2C,Offline,20170125
K0166518,B2C,Offline,20170125
K0166520,B2C,Offline,20170125
K0166521,B2C,Offline,20170125
K0166524,B2C,Offline,20170126
K0166525,B2C,Offline,20170126
K0166527,B2C,Offline,20170126
K0166528,B2C,Offline,20170126
K0166532,B2C,Offline,20170126
K0166534,B2C,Offline,20170127
K0166536,B2C,Offline,20170128
K0166537,B2C,Offline,20170128
K0166538,B2C,Offline,20170128
K0166540,B2C,Offline,20170128
K0166541,B2C,Offline,20170128
K0166544,B2C,Offline,20170128
K0166546,B2C,Offline,20170128
K0166548,B2C,Offline,20170128
K0166553,B2C,Offline,20170130
K0166554,B2C,Offline,20170130
K0166556,B2C,Offline,20170130
K0166558,B2C,Offline,20170130
K0166560,B2C,Offline,20170131
K0166567,B2C,Offline,20170131
K0166568,B2C,Offline,20170131
K0166572,B2C,Offline,20170131
K0166577,B2C,Offline,20170131
K0166581,B2C,Offline,20170131
K0166584,B2C,Offline,20170131
K0166588,B2C,Offline,20170131
K0166590,B2C,Offline,20170201
K0166594,B2C,Offline,20170201
K0166600,B2C,Offline,20170202
K0166602,B2C,Offline,20170202
K0166604,B2C,Offline,20170204
K0166606,B2C,Offline,20170204
K0166608,B2C,Offline,20170204
K0166611,B2C,Offline,20170204
K0166615,B2C,Offline,20170204
K0166618,B2C,Offline,20170204
K0166624,B2C,Offline,20170204
K0166627,B2C,Offline,20170204
K0166632,B2C,Offline,20170204
K0166635,B2C,Offline,20170204
K0166636,B2C,Offline,20170204
K0166638,B2C,Offline,20170204
K0166644,B2C,Offline,20170206
K0166650,B2C,Offline,20170206
